CAVEaT Item,CCM Control Title,CCM Control ID,Justification
Abuse Queue Services(version 1.0),Application & Interface Security,AIS-05,"CAVEaT discusses securing queue services, which aligns with CCM's control on application security testing to maintain compliance and enable secure delivery."
Abusing Cloud Storage for Access(including S3/Blob manipulation)(version 1.0),Audit & Assurance,A&A-01,"CAVEaT discusses auditing permissions on cloud storage to prevent unauthorized access, which aligns with CCM's Audit and Assurance policies and procedures."
Accessing Data from Databases(version 1.0),Data Security and Privacy Lifecycle Management,DSP-01,"CAVEaT is about securing database access, which falls under CCM's policies for data security and privacy throughout its lifecycle."
Account Manipulation(version 1.0),Identity & Access Management,IAM-01,"Account manipulation in CAVEaT aligns with CCM's identity and access management policies and procedures, which aim to prevent unauthorized account changes."
"Steal Application Access Token(version 1.1)",Identity & Access Management,IAM-01,"Stealing application access tokens in CAVEaT is an identity and access management issue that CCM's IAM policies and procedures aim to prevent."
"Cloud Admin Portal/API(version 1.0)",Identity & Access Management,IAM-02,"CAVEaT discusses securing admin portals/APIs, which can be achieved through strong password policies and procedures as required by CCM."
"Cloud Instance Metadata API(version 1.0)",Identity & Access Management,IAM-01,"CAVEaT is about misuse of the metadata API, which CCM's IAM policies and procedures aim to prevent through secure access management practices."
"Cloud Log Scrubbing(version 1.0)",Logging and Monitoring,LOG-02,"CAVEaT discusses deleting or manipulating cloud logs, which goes against CCM's control requiring audit log protection."
"Collecting Data from Cloud Logs(version 1.0)",Logging and Monitoring,LOG-08,"CCM requires generating audit records with relevant security information, which could help detect the log data collection described in CAVEaT."
"Create New Account(version 1.0)",Identity & Access Management,IAM-01,"Adversaries creating new accounts in CAVEaT can be mitigated through CCM's IAM policies and procedures for managing accounts."
Creating a VM instance(version 1.1),Infrastructure & Virtualization Security,IVS-04,"CAVEaT discusses security risks from creating VMs, which relates to CCM's control on hardening OSes and infrastructures as part of a security baseline."
"Credentials in Files(version 1.1)",Identity & Access Management,IAM-15,"CAVEaT discusses credentials being unsecurely stored in files. CCM requires secure password management processes, which would prevent this issue."
"Data/VM Backups(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-03,"CAVEaT discusses data/VM backup security, which relates to CCM's control about creating a data inventory to track where sensitive data is stored."
"Data from VM Local File System(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"CAVEaT is about protecting data on VMs, which can be addressed by the defense-in-depth techniques required in CCM for responding to attacks."
"Denial of Data(version 1.1)","Security Incident Management, E-Discovery, & Cloud Forensics",SEF-04,"Denial of data (destroying data) in CAVEaT is a security incident that requires testing incident response plans, as noted in CCM."
"Deprecated Cloud API's(version 1.0)",Threat & Vulnerability Management,TVM-07,"Using deprecated and likely vulnerable APIs in CAVEaT can be identified through the vulnerability detection processes required by CCM."
"Disable or Modify Security Tools(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"Disabling security tools is an infrastructure security issue in CAVEaT, and CCM provides relevant policies and procedures to maintain infrastructure security."
"Discovery using Cloud APIs(version 1.1)",Logging and Monitoring,LOG-01,"CAVEaT is about adversaries using cloud APIs for discovery, which could be detected by logging and monitoring procedures defined in CCM."
"Exploit Elastic Container Service (ECS) Task Definitions(version 1.0)",Infrastructure & Virtualization Security,IVS-06,"CAVEaT is about exploiting task definitions in containers, which relates to CCM's control on appropriate segmentation and segregation of user access in applications and infrastructures."
"Exploiting FaaS - AWS Lambda/Azure Functions/Logic Apps(version 1.2)",Application & Interface Security,AIS-03,"Both items deal with securing cloud application services - CAVEaT discusses exploiting FaaS like Lambda, while CCM mentions defining application security metrics."
"Exploiting New Vulnerabilities in Managed Cloud Services(version 1.0)",Threat & Vulnerability Management,TVM-01,"CAVEaT and CCM both focus on identifying and remediating vulnerabilities in cloud services, with CCM providing the overarching policy and procedures to do so."
"Exploit S3 (Simple Storage Service) Permissions(version 1.0)",Audit & Assurance,A&A-02,"CAVEaT discusses exploiting weak S3 permissions, which would be identified through the independent assessments required by CCM."
"Exploiting Public-Facing Application(version 1.0)","Governance, Risk and Compliance",GRC-02,"Public-facing applications are part of an organization's attack surface. CCM's risk management program should assess risks of public apps, which may be exploited as noted in CAVEaT."
"Exploiting Containers(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"CAVEaT discusses exploiting containers, which is directly related to CCM's policies and procedures for infrastructure and virtualization security."
"GKE (Google Kubernetes Engine) Kubernetes Attack(version 1.1)",Infrastructure & Virtualization Security,IVS-06,"CAVEaT outlines an attack on GKE, Google's managed Kubernetes service. CCM specifies controls for properly segmenting and restricting access within infrastructures such as Kubernetes clusters."
"Harvesting Credentials via Cloud APIs(version 1.0)",Identity & Access Management,IAM-01,"CAVEaT discusses stealing credentials via cloud APIs, which CCM aims to prevent through its IAM policies and procedures."
